Frame,Class,X,Y
1,Valentina,349,328
1,Lapu-Lapu,623,34
1,Novaria,289,302
1,Minotaur,273,217
1,Chou,437,122
1,Fredrinn,379,112
1,Masha,658,116
1,Fanny,451,259
1,Claude,82,675
2,Valentina,348,328
2,Lapu-Lapu,622,34
2,Minotaur,272,217
2,Fredrinn,379,112
2,Chou,437,121
2,Novaria,289,303
2,Masha,659,116
2,Fanny,451,259
2,Claude,83,675
3,Valentina,348,328
3,Lapu-Lapu,622,35
3,Minotaur,271,218
3,Fredrinn,378,112
3,Chou,437,121
3,Novaria,289,303
3,Masha,659,115
3,Fanny,451,258
3,Claude,84,676
4,Lapu-Lapu,621,34
4,Valentina,348,328
4,Minotaur,271,217
4,Fredrinn,378,112
4,Novaria,290,304
4,Chou,437,121
4,Masha,659,115
4,Fanny,451,258
4,Claude,84,676
5,Lapu-Lapu,618,34
5,Valentina,345,328
5,Novaria,290,305
5,Fredrinn,376,112
5,Chou,437,120
5,Masha,658,114
5,Minotaur,269,219
5,Fanny,451,258
5,Claude,86,676
5,Wanwan,20,603
6,Novaria,291,306
6,Lapu-Lapu,618,34
6,Valentina,344,328
6,Chou,438,120
6,Fredrinn,375,112
6,Masha,657,114
6,Minotaur,269,220
6,Fanny,451,258
6,Claude,88,678
7,Novaria,291,307
7,Lapu-Lapu,617,34
7,Valentina,343,328
7,Fredrinn,374,112
7,Chou,439,120
7,Masha,656,114
7,Minotaur,268,220
7,Fanny,451,258
7,Claude,87,677
8,Novaria,292,308
8,Chou,439,120
8,Fredrinn,374,113
8,Lapu-Lapu,616,33
8,Valentina,343,328
8,Masha,656,114
8,Minotaur,268,222
8,Fanny,451,258
8,Claude,87,679
9,Novaria,292,308
9,Fredrinn,375,114
9,Chou,440,120
9,Valentina,343,329
9,Masha,655,114
9,Lapu-Lapu,615,33
9,Minotaur,267,222
9,Fanny,451,258
9,Claude,87,678
10,Novaria,292,308
10,Fredrinn,376,114
10,Chou,441,121
10,Masha,654,114
10,Lapu-Lapu,614,33
10,Valentina,343,329
10,Minotaur,267,222
10,Claude,87,678
10,Fanny,451,258
11,Novaria,292,308
11,Fredrinn,377,114
11,Chou,442,121
11,Claude,87,680
11,Minotaur,266,223
11,Valentina,343,328
11,Lapu-Lapu,614,32
11,Fanny,451,258
11,Masha,652,113
12,Novaria,292,308
12,Fredrinn,379,115
12,Minotaur,265,224
12,Chou,443,121
12,Claude,86,681
12,Valentina,343,328
12,Fanny,451,258
12,Lapu-Lapu,614,31
12,Masha,652,113
13,Novaria,292,308
13,Minotaur,265,224
13,Fredrinn,379,115
13,Chou,443,120
13,Claude,86,682
13,Valentina,343,328
13,Fanny,451,258
13,Lapu-Lapu,614,31
13,Masha,651,113
14,Novaria,292,308
14,Minotaur,265,225
14,Chou,444,120
14,Fredrinn,380,116
14,Claude,86,682
14,Lapu-Lapu,614,31
14,Valentina,343,328
14,Fanny,451,258
14,Masha,650,113
15,Chou,444,121
15,Minotaur,265,226
15,Novaria,293,308
15,Fredrinn,381,116
15,Lapu-Lapu,614,31
15,Claude,86,682
15,Valentina,343,328
15,Fanny,451,258
15,Masha,649,113
16,Novaria,293,308
16,Chou,445,121
16,Minotaur,263,226
16,Fredrinn,381,116
16,Lapu-Lapu,615,31
16,Claude,85,682
16,Fanny,451,258
16,Valentina,343,328
16,Masha,649,113
17,Chou,446,121
17,Novaria,293,308
17,Minotaur,263,227
17,Fredrinn,382,116
17,Lapu-Lapu,617,30
17,Fanny,449,256
17,Claude,84,682
17,Valentina,343,328
17,Masha,648,113
18,Chou,446,121
18,Minotaur,262,228
18,Novaria,293,308
18,Fredrinn,383,115
18,Lapu-Lapu,617,30
18,Fanny,447,255
18,Masha,647,113
18,Claude,85,683
18,Valentina,343,328
19,Chou,446,121
19,Novaria,293,308
19,Fredrinn,383,114
19,Minotaur,262,228
19,Lapu-Lapu,620,30
19,Fanny,444,253
19,Claude,85,682
19,Masha,647,113
19,Valentina,343,328
20,Chou,447,121
20,Fanny,441,251
20,Minotaur,260,230
20,Novaria,292,309
20,Fredrinn,385,113
20,Lapu-Lapu,619,31
20,Masha,645,112
20,Claude,86,681
20,Valentina,342,328
21,Fanny,440,249
21,Chou,447,121
21,Novaria,292,308
21,Fredrinn,385,112
21,Minotaur,260,230
21,Lapu-Lapu,620,31
21,Masha,645,112
21,Claude,87,680
21,Valentina,343,328
22,Chou,447,121
22,Fanny,439,248
22,Novaria,291,308
22,Fredrinn,385,112
22,Minotaur,260,230
22,Lapu-Lapu,620,31
22,Masha,645,112
22,Claude,87,680
22,Valentina,342,328
23,Chou,447,121
23,Fanny,436,244
23,Fredrinn,386,112
23,Novaria,290,308
23,Masha,644,112
23,Minotaur,260,232
23,Lapu-Lapu,620,32
23,Valentina,342,328
23,Claude,88,680
24,Fredrinn,388,112
24,Chou,449,121
24,Masha,642,112
24,Novaria,288,308
24,Minotaur,260,233
24,Fanny,433,241
24,Lapu-Lapu,618,32
24,Valentina,342,328
24,Claude,88,679
25,Masha,642,112
25,Chou,448,121
25,Fredrinn,388,112
25,Minotaur,260,233
25,Novaria,288,308
25,Lapu-Lapu,618,32
25,Fanny,433,242
25,Valentina,342,328
25,Claude,88,679
26,Masha,641,112
26,Chou,449,122
26,Fredrinn,389,112
26,Fanny,433,240
26,Minotaur,260,234
26,Valentina,342,328
26,Novaria,287,309
26,Lapu-Lapu,618,32
26,Claude,88,679
27,Masha,639,112
27,Fanny,431,239
27,Chou,450,121
27,Novaria,287,308
27,Fredrinn,390,112
27,Minotaur,261,234
27,Valentina,343,328
27,Lapu-Lapu,617,32
27,Claude,90,680
28,Valentina,344,328
28,Masha,638,112
28,Fanny,429,236
28,Novaria,287,307
28,Fredrinn,391,113
28,Chou,451,121
28,Minotaur,261,235
28,Lapu-Lapu,615,32
28,Claude,91,677
29,Valentina,344,328
29,Masha,638,112
29,Novaria,286,307
29,Chou,451,121
29,Fanny,428,234
29,Fredrinn,391,113
29,Minotaur,262,236
29,Lapu-Lapu,614,31
29,Claude,91,677
30,Valentina,345,328
30,Fanny,426,233
30,Novaria,285,307
30,Fredrinn,393,112
30,Masha,638,111
30,Lapu-Lapu,614,32
30,Chou,453,122
30,Minotaur,262,237
30,Claude,92,676
31,Fanny,424,231
31,Valentina,345,328
31,Novaria,285,306
31,Fredrinn,397,112
31,Lapu-Lapu,613,31
31,Chou,454,121
31,Minotaur,262,237
31,Masha,637,110
31,Claude,92,676
32,Fanny,422,228
32,Valentina,346,327
32,Novaria,284,306
32,Chou,455,121
32,Lapu-Lapu,613,31
32,Fredrinn,399,112
32,Minotaur,263,237
32,Masha,636,110
32,Claude,92,676
33,Fanny,420,226
33,Valentina,347,327
33,Novaria,283,306
33,Chou,456,121
33,Lapu-Lapu,613,31
33,Minotaur,264,238
33,Fredrinn,401,113
33,Masha,635,110
33,Claude,94,674
33,Wanwan,25,620
34,Valentina,347,327
34,Fanny,419,225
34,Novaria,283,305
34,Chou,456,122
34,Lapu-Lapu,613,30
34,Minotaur,264,238
34,Fredrinn,404,113
34,Masha,634,110
34,Claude,94,674
35,Valentina,348,327
35,Fanny,417,223
35,Minotaur,264,238
35,Chou,458,122
35,Lapu-Lapu,614,30
35,Novaria,283,304
35,Fredrinn,408,114
35,Claude,95,673
35,Masha,633,111
35,Wanwan,26,622
36,Valentina,349,327
36,Chou,459,121
36,Fanny,416,221
36,Lapu-Lapu,614,30
36,Minotaur,264,239
36,Novaria,283,303
36,Masha,633,110
36,Claude,95,673
36,Wanwan,26,623
36,Fredrinn,411,114
37,Chou,458,121
37,Valentina,350,327
37,Lapu-Lapu,616,30
37,Fanny,416,216
37,Minotaur,265,239
37,Novaria,282,303
37,Claude,96,672
37,Masha,631,111
37,Wanwan,26,623
37,Fredrinn,412,114
38,Chou,458,121
38,Minotaur,265,240
38,Lapu-Lapu,616,30
38,Valentina,350,327
38,Fanny,415,212
38,Novaria,281,304
38,Claude,96,671
38,Masha,631,111
38,Wanwan,26,624
38,Fredrinn,412,113
39,Chou,460,121
39,Minotaur,266,240
39,Lapu-Lapu,618,30
39,Valentina,350,326
39,Novaria,278,304
39,Claude,98,670
39,Fanny,413,205
39,Masha,630,111
39,Fredrinn,413,112
39,Wanwan,27,624
40,Chou,460,121
40,Lapu-Lapu,619,30
40,Minotaur,265,242
40,Valentina,350,326
40,Fanny,412,199
40,Claude,99,670
40,Novaria,277,304
40,Masha,631,112
40,Fredrinn,413,111
40,Wanwan,27,624
41,Fanny,411,195
41,Lapu-Lapu,620,31
41,Minotaur,266,242
41,Chou,460,121
41,Valentina,351,325
41,Novaria,276,305
41,Claude,99,669
41,Masha,630,112
41,Wanwan,27,623
42,Lapu-Lapu,618,31
42,Minotaur,267,242
42,Valentina,350,324
42,Chou,461,122
42,Novaria,275,304
42,Claude,101,669
42,Fanny,409,189
42,Masha,630,111
42,Wanwan,26,623
43,Lapu-Lapu,618,31
43,Chou,462,121
43,Minotaur,267,242
43,Valentina,350,324
43,Novaria,275,304
43,Fanny,408,188
43,Claude,102,668
43,Masha,630,112
43,Wanwan,25,623
44,Chou,461,121
44,Lapu-Lapu,616,31
44,Valentina,349,323
44,Novaria,272,304
44,Fanny,405,180
44,Minotaur,268,243
44,Masha,630,111
44,Claude,103,667
44,Wanwan,25,623
45,Chou,461,121
45,Valentina,349,323
45,Lapu-Lapu,615,31
45,Fanny,405,178
45,Novaria,272,304
45,Minotaur,268,243
45,Masha,630,112
45,Claude,103,667
45,Wanwan,25,623
46,Fanny,405,172
46,Chou,462,121
46,Valentina,348,323
46,Novaria,272,304
46,Lapu-Lapu,615,32
46,Minotaur,268,243
46,Masha,629,111
46,Claude,104,667
46,Wanwan,25,623
47,Novaria,272,304
47,Valentina,348,322
47,Chou,462,121
47,Lapu-Lapu,613,32
47,Minotaur,268,244
47,Fanny,403,168
47,Masha,630,111
47,Wanwan,25,623
47,Claude,103,666
48,Novaria,272,304
48,Valentina,348,321
48,Chou,461,121
48,Lapu-Lapu,613,32
48,Minotaur,269,244
48,Fanny,401,164
48,Masha,630,111
48,Claude,104,665
48,Wanwan,25,623
49,Valentina,348,321
49,Chou,461,121
49,Novaria,273,305
49,Lapu-Lapu,613,31
49,Minotaur,269,245
49,Fanny,399,160
49,Masha,630,111
49,Claude,105,664
49,Wanwan,26,624
50,Valentina,347,320
50,Lapu-Lapu,611,31
50,Chou,461,122
50,Novaria,273,306
50,Fanny,396,149
50,Minotaur,270,246
50,Claude,107,663
50,Masha,630,111
50,Wanwan,26,625
51,Valentina,347,320
51,Lapu-Lapu,611,31
51,Chou,461,122
51,Novaria,273,306
51,Minotaur,270,246
51,Masha,630,111
51,Claude,107,663
51,Fanny,395,147
51,Wanwan,26,625
52,Valentina,347,319
52,Lapu-Lapu,610,31
52,Novaria,273,306
52,Chou,462,122
52,Claude,107,663
52,Masha,630,111
52,Minotaur,270,246
52,Fanny,393,142
52,Wanwan,27,626
53,Valentina,347,319
53,Lapu-Lapu,610,30
53,Novaria,273,306
53,Chou,461,122
53,Claude,108,662
53,Masha,631,111
53,Minotaur,271,247
53,Wanwan,28,627
53,Fanny,393,136
54,Lapu-Lapu,610,30
54,Valentina,348,319
54,Novaria,273,307
54,Chou,462,122
54,Claude,108,660
54,Masha,631,111
54,Minotaur,271,247
54,Wanwan,28,628
54,Fanny,394,129
55,Lapu-Lapu,611,30
55,Valentina,348,319
55,Chou,462,122
55,Novaria,273,308
55,Masha,631,111
55,Claude,109,660
55,Minotaur,271,249
55,Fanny,394,129
55,Wanwan,28,629
56,Lapu-Lapu,611,30
56,Valentina,348,320
56,Novaria,273,308
56,Chou,462,121
56,Masha,631,111
56,Claude,110,658
56,Minotaur,271,249
56,Fanny,395,127
56,Wanwan,28,630
57,Lapu-Lapu,612,30
57,Valentina,350,320
57,Novaria,273,307
57,Chou,462,121
57,Claude,110,656
57,Masha,631,111
57,Minotaur,271,250
57,Fanny,394,127
57,Wanwan,28,631
58,Lapu-Lapu,613,30
58,Novaria,272,307
58,Valentina,351,321
58,Chou,462,120
58,Claude,111,656
58,Minotaur,272,250
58,Fanny,396,125
58,Masha,631,111
58,Wanwan,28,631
59,Lapu-Lapu,614,30
59,Novaria,272,306
59,Valentina,352,321
59,Claude,112,655
59,Chou,462,120
59,Masha,630,111
59,Fanny,396,124
59,Minotaur,272,250
59,Wanwan,28,632
60,Lapu-Lapu,614,30
60,Novaria,273,306
60,Claude,112,654
60,Valentina,352,321
60,Chou,462,119
60,Fanny,397,123
60,Masha,630,111
60,Minotaur,273,250
60,Wanwan,28,632
61,Lapu-Lapu,614,30
61,Novaria,273,305
61,Claude,113,654
61,Valentina,354,321
61,Fanny,397,123
61,Minotaur,273,250
61,Masha,630,111
61,Chou,462,118
61,Wanwan,29,632
62,Lapu-Lapu,614,31
62,Novaria,273,305
62,Claude,113,653
62,Valentina,354,322
62,Fanny,397,122
62,Masha,630,111
62,Chou,462,117
62,Minotaur,274,250
62,Wanwan,29,632
63,Novaria,273,304
63,Lapu-Lapu,613,31
63,Claude,113,652
63,Valentina,355,322
63,Fanny,398,121
63,Chou,462,116
63,Masha,630,111
63,Minotaur,274,250
63,Wanwan,29,632
64,Novaria,273,304
64,Claude,114,651
64,Lapu-Lapu,613,31
64,Masha,630,111
64,Valentina,356,323
64,Chou,461,115
64,Fanny,398,119
64,Wanwan,29,632
64,Minotaur,274,251
65,Novaria,273,303
65,Lapu-Lapu,612,31
65,Masha,630,111
65,Claude,114,650
65,Valentina,357,323
65,Chou,461,115
65,Fanny,398,118
65,Wanwan,29,632
66,Novaria,274,300
66,Lapu-Lapu,611,31
66,Masha,630,111
66,Claude,115,648
66,Valentina,357,322
66,Chou,460,114
66,Fanny,397,118
66,Wanwan,29,631
67,Novaria,274,300
67,Lapu-Lapu,610,31
67,Masha,629,110
67,Claude,115,648
67,Valentina,357,322
67,Chou,460,114
67,Fanny,396,118
67,Wanwan,28,631
68,Lapu-Lapu,609,31
68,Novaria,275,298
68,Masha,629,109
68,Claude,117,648
68,Valentina,358,322
68,Chou,458,113
68,Fanny,396,116
68,Wanwan,28,631
69,Lapu-Lapu,608,31
69,Novaria,274,296
69,Claude,117,647
69,Valentina,359,322
69,Masha,629,108
69,Chou,457,113
69,Fanny,395,115
69,Wanwan,29,630
70,Lapu-Lapu,608,30
70,Novaria,275,295
70,Valentina,361,322
70,Masha,628,107
70,Claude,118,647
70,Chou,456,112
70,Fanny,396,114
70,Wanwan,28,631
71,Lapu-Lapu,608,30
71,Novaria,275,292
71,Valentina,361,322
71,Claude,119,647
71,Masha,628,106
71,Chou,454,113
71,Fanny,396,113
71,Wanwan,28,631
72,Lapu-Lapu,608,30
72,Valentina,361,321
72,Masha,628,105
72,Claude,118,648
72,Novaria,275,289
72,Chou,453,112
72,Wanwan,29,632
72,Fanny,396,112
73,Lapu-Lapu,609,29
73,Valentina,361,321
73,Claude,118,649
73,Masha,628,104
73,Novaria,276,288
73,Chou,453,111
73,Wanwan,29,632
73,Fanny,393,112
74,Lapu-Lapu,610,29
74,Valentina,361,321
74,Claude,116,649
74,Masha,628,103
74,Novaria,276,286
74,Chou,451,111
74,Wanwan,29,633
74,Fanny,395,110
75,Lapu-Lapu,610,29
75,Valentina,361,321
75,Claude,116,649
75,Masha,628,102
75,Novaria,276,286
75,Chou,450,111
75,Wanwan,29,633
76,Lapu-Lapu,611,29
76,Valentina,361,321
76,Claude,116,649
76,Masha,628,102
76,Chou,450,111
76,Novaria,276,285
76,Wanwan,29,633
76,Fanny,391,110
77,Lapu-Lapu,612,28
77,Valentina,361,321
77,Claude,115,648
77,Novaria,276,285
77,Chou,450,109
77,Masha,628,101
77,Wanwan,29,633
77,Fanny,390,109
78,Lapu-Lapu,612,28
78,Valentina,361,321
78,Claude,115,649
78,Chou,450,109
78,Novaria,276,285
78,Masha,628,101
78,Wanwan,29,633
79,Lapu-Lapu,612,28
79,Chou,449,108
79,Valentina,360,322
79,Novaria,277,285
79,Claude,114,647
79,Masha,628,100
79,Wanwan,31,633
79,Fanny,391,106
80,Lapu-Lapu,611,28
80,Chou,446,108
80,Valentina,360,322
80,Claude,114,646
80,Novaria,277,285
80,Masha,628,99
80,Wanwan,31,633
81,Lapu-Lapu,611,28
81,Chou,445,108
81,Claude,113,645
81,Novaria,277,285
81,Valentina,360,322
81,Masha,628,98
81,Wanwan,31,633
82,Lapu-Lapu,610,29
82,Chou,444,108
82,Claude,113,645
82,Novaria,277,285
82,Valentina,360,322
82,Masha,628,97
82,Wanwan,31,634
83,Lapu-Lapu,609,29
83,Claude,112,643
83,Novaria,278,284
83,Chou,440,106
83,Valentina,360,322
83,Masha,628,97
83,Wanwan,31,635
84,Lapu-Lapu,609,29
84,Claude,112,643
84,Novaria,278,284
84,Chou,440,106
84,Valentina,360,322
84,Masha,628,97
84,Wanwan,28,634
85,Lapu-Lapu,607,29
85,Chou,440,105
85,Claude,112,643
85,Valentina,360,322
85,Masha,628,95
85,Novaria,279,283
85,Wanwan,32,635
86,Lapu-Lapu,606,29
86,Chou,439,105
86,Claude,112,643
86,Novaria,279,282
86,Masha,628,95
86,Valentina,362,323
86,Wanwan,32,635
87,Lapu-Lapu,604,29
87,Claude,112,643
87,Chou,438,105
87,Novaria,280,280
87,Valentina,363,324
87,Masha,628,94
87,Wanwan,31,635
88,Lapu-Lapu,603,29
88,Claude,112,643
88,Chou,438,105
88,Valentina,364,324
88,Novaria,280,280
88,Masha,628,93
88,Wanwan,31,635
89,Lapu-Lapu,602,29
89,Claude,112,643
89,Valentina,365,325
89,Novaria,281,281
89,Masha,628,92
89,Chou,437,105
89,Wanwan,31,635
90,Lapu-Lapu,602,29
90,Claude,112,643
90,Valentina,366,325
90,Novaria,281,280
90,Masha,627,91
90,Chou,434,104
90,Wanwan,31,635
91,Lapu-Lapu,600,29
91,Claude,112,643
91,Chou,433,105
91,Masha,628,90
91,Valentina,366,326
91,Novaria,283,282
91,Wanwan,31,635
92,Lapu-Lapu,598,29
92,Claude,112,643
92,Chou,433,104
92,Masha,628,89
92,Novaria,284,281
92,Valentina,367,328
92,Wanwan,31,635
93,Lapu-Lapu,597,29
93,Claude,112,643
93,Chou,432,104
93,Masha,628,88
93,Novaria,285,280
93,Valentina,369,328
93,Wanwan,31,635
94,Lapu-Lapu,596,29
94,Claude,112,643
94,Chou,431,103
94,Novaria,285,278
94,Masha,628,87
94,Valentina,369,329
94,Wanwan,31,635
95,Lapu-Lapu,596,29
95,Claude,112,643
95,Chou,430,103
95,Novaria,286,277
95,Valentina,370,329
95,Masha,629,87
95,Wanwan,31,635
96,Lapu-Lapu,596,29
96,Claude,111,642
96,Chou,431,103
96,Masha,629,86
96,Novaria,286,277
96,Valentina,371,330
96,Wanwan,32,635
97,Lapu-Lapu,596,29
97,Claude,111,641
