Frame,Class,X,Y
1,Valentina,349,392
1,Lapu-Lapu,623,686
1,Novaria,289,418
1,Minotaur,273,503
1,Chou,437,598
1,Fredrinn,379,608
1,Masha,658,604
1,Fanny,451,461
1,Claude,82,45
2,Valentina,348,392
2,Lapu-Lapu,622,686
2,Minotaur,272,503
2,Fredrinn,379,608
2,Chou,437,599
2,Novaria,289,417
2,Masha,659,604
2,Fanny,451,461
2,Claude,83,45
3,Valentina,348,392
3,Lapu-Lapu,622,685
3,Minotaur,271,502
3,Fredrinn,378,608
3,Chou,437,599
3,Novaria,289,417
3,Masha,659,605
3,Fanny,451,462
3,Claude,84,44
4,Lapu-Lapu,621,686
4,Valentina,348,392
4,Minotaur,271,503
4,Fredrinn,378,608
4,Novaria,290,416
4,Chou,437,599
4,Masha,659,605
4,Fanny,451,462
4,Claude,84,44
5,Lapu-Lapu,618,686
5,Valentina,345,392
5,Novaria,290,415
5,Fredrinn,376,608
5,Chou,437,600
5,Masha,658,606
5,Minotaur,269,501
5,Fanny,451,462
5,Claude,86,44
5,Wanwan,20,117
6,Novaria,291,414
6,Lapu-Lapu,618,686
6,Valentina,344,392
6,Chou,438,600
6,Fredrinn,375,608
6,Masha,657,606
6,Minotaur,269,500
6,Fanny,451,462
6,Claude,88,42
7,Novaria,291,413
7,Lapu-Lapu,617,686
7,Valentina,343,392
7,Fredrinn,374,608
7,Chou,439,600
7,Masha,656,606
7,Minotaur,268,500
7,Fanny,451,462
7,Claude,87,43
8,Novaria,292,412
8,Chou,439,600
8,Fredrinn,374,607
8,Lapu-Lapu,616,687
8,Valentina,343,392
8,Masha,656,606
8,Minotaur,268,498
8,Fanny,451,462
8,Claude,87,41
9,Novaria,292,412
9,Fredrinn,375,606
9,Chou,440,600
9,Valentina,343,391
9,Masha,655,606
9,Lapu-Lapu,615,687
9,Minotaur,267,498
9,Fanny,451,462
9,Claude,87,42
10,Novaria,292,412
10,Fredrinn,376,606
10,Chou,441,599
10,Masha,654,606
10,Lapu-Lapu,614,687
10,Valentina,343,391
10,Minotaur,267,498
10,Claude,87,42
10,Fanny,451,462
11,Novaria,292,412
11,Fredrinn,377,606
11,Chou,442,599
11,Claude,87,40
11,Minotaur,266,497
11,Valentina,343,392
11,Lapu-Lapu,614,688
11,Fanny,451,462
11,Masha,652,607
12,Novaria,292,412
12,Fredrinn,379,605
12,Minotaur,265,496
12,Chou,443,599
12,Claude,86,39
12,Valentina,343,392
12,Fanny,451,462
12,Lapu-Lapu,614,689
12,Masha,652,607
13,Novaria,292,412
13,Minotaur,265,496
13,Fredrinn,379,605
13,Chou,443,600
13,Claude,86,38
13,Valentina,343,392
13,Fanny,451,462
13,Lapu-Lapu,614,689
13,Masha,651,607
14,Novaria,292,412
14,Minotaur,265,495
14,Chou,444,600
14,Fredrinn,380,604
14,Claude,86,38
14,Lapu-Lapu,614,689
14,Valentina,343,392
14,Fanny,451,462
14,Masha,650,607
15,Chou,444,599
15,Minotaur,265,494
15,Novaria,293,412
15,Fredrinn,381,604
15,Lapu-Lapu,614,689
15,Claude,86,38
15,Valentina,343,392
15,Fanny,451,462
15,Masha,649,607
16,Novaria,293,412
16,Chou,445,599
16,Minotaur,263,494
16,Fredrinn,381,604
16,Lapu-Lapu,615,689
16,Claude,85,38
16,Fanny,451,462
16,Valentina,343,392
16,Masha,649,607
17,Chou,446,599
17,Novaria,293,412
17,Minotaur,263,493
17,Fredrinn,382,604
17,Lapu-Lapu,617,690
17,Fanny,449,464
17,Claude,84,38
17,Valentina,343,392
17,Masha,648,607
18,Chou,446,599
18,Minotaur,262,492
18,Novaria,293,412
18,Fredrinn,383,605
18,Lapu-Lapu,617,690
18,Fanny,447,465
18,Masha,647,607
18,Claude,85,37
18,Valentina,343,392
19,Chou,446,599
19,Novaria,293,412
19,Fredrinn,383,606
19,Minotaur,262,492
19,Lapu-Lapu,620,690
19,Fanny,444,467
19,Claude,85,38
19,Masha,647,607
19,Valentina,343,392
20,Chou,447,599
20,Fanny,441,469
20,Minotaur,260,490
20,Novaria,292,411
20,Fredrinn,385,607
20,Lapu-Lapu,619,689
20,Masha,645,608
20,Claude,86,39
20,Valentina,342,392
21,Fanny,440,471
21,Chou,447,599
21,Novaria,292,412
21,Fredrinn,385,608
21,Minotaur,260,490
21,Lapu-Lapu,620,689
21,Masha,645,608
21,Claude,87,40
21,Valentina,343,392
22,Chou,447,599
22,Fanny,439,472
22,Novaria,291,412
22,Fredrinn,385,608
22,Minotaur,260,490
22,Lapu-Lapu,620,689
22,Masha,645,608
22,Claude,87,40
22,Valentina,342,392
23,Chou,447,599
23,Fanny,436,476
23,Fredrinn,386,608
23,Novaria,290,412
23,Masha,644,608
23,Minotaur,260,488
23,Lapu-Lapu,620,688
23,Valentina,342,392
23,Claude,88,40
24,Fredrinn,388,608
24,Chou,449,599
24,Masha,642,608
24,Novaria,288,412
24,Minotaur,260,487
24,Fanny,433,479
24,Lapu-Lapu,618,688
24,Valentina,342,392
24,Claude,88,41
25,Masha,642,608
25,Chou,448,599
25,Fredrinn,388,608
25,Minotaur,260,487
25,Novaria,288,412
25,Lapu-Lapu,618,688
25,Fanny,433,478
25,Valentina,342,392
25,Claude,88,41
26,Masha,641,608
26,Chou,449,598
26,Fredrinn,389,608
26,Fanny,433,480
26,Minotaur,260,486
26,Valentina,342,392
26,Novaria,287,411
26,Lapu-Lapu,618,688
26,Claude,88,41
27,Masha,639,608
27,Fanny,431,481
27,Chou,450,599
27,Novaria,287,412
27,Fredrinn,390,608
27,Minotaur,261,486
27,Valentina,343,392
27,Lapu-Lapu,617,688
27,Claude,90,40
28,Valentina,344,392
28,Masha,638,608
28,Fanny,429,484
28,Novaria,287,413
28,Fredrinn,391,607
28,Chou,451,599
28,Minotaur,261,485
28,Lapu-Lapu,615,688
28,Claude,91,43
29,Valentina,344,392
29,Masha,638,608
29,Novaria,286,413
29,Chou,451,599
29,Fanny,428,486
29,Fredrinn,391,607
29,Minotaur,262,484
29,Lapu-Lapu,614,689
29,Claude,91,43
30,Valentina,345,392
30,Fanny,426,487
30,Novaria,285,413
30,Fredrinn,393,608
30,Masha,638,609
30,Lapu-Lapu,614,688
30,Chou,453,598
30,Minotaur,262,483
30,Claude,92,44
31,Fanny,424,489
31,Valentina,345,392
31,Novaria,285,414
31,Fredrinn,397,608
31,Lapu-Lapu,613,689
31,Chou,454,599
31,Minotaur,262,483
31,Masha,637,610
31,Claude,92,44
32,Fanny,422,492
32,Valentina,346,393
32,Novaria,284,414
32,Chou,455,599
32,Lapu-Lapu,613,689
32,Fredrinn,399,608
32,Minotaur,263,483
32,Masha,636,610
32,Claude,92,44
33,Fanny,420,494
33,Valentina,347,393
33,Novaria,283,414
33,Chou,456,599
33,Lapu-Lapu,613,689
33,Minotaur,264,482
33,Fredrinn,401,607
33,Masha,635,610
33,Claude,94,46
33,Wanwan,25,100
34,Valentina,347,393
34,Fanny,419,495
34,Novaria,283,415
34,Chou,456,598
34,Lapu-Lapu,613,690
34,Minotaur,264,482
34,Fredrinn,404,607
34,Masha,634,610
34,Claude,94,46
35,Valentina,348,393
35,Fanny,417,497
35,Minotaur,264,482
35,Chou,458,598
35,Lapu-Lapu,614,690
35,Novaria,283,416
35,Fredrinn,408,606
35,Claude,95,47
35,Masha,633,609
35,Wanwan,26,98
36,Valentina,349,393
36,Chou,459,599
36,Fanny,416,499
36,Lapu-Lapu,614,690
36,Minotaur,264,481
36,Novaria,283,417
36,Masha,633,610
36,Claude,95,47
36,Wanwan,26,97
36,Fredrinn,411,606
37,Chou,458,599
37,Valentina,350,393
37,Lapu-Lapu,616,690
37,Fanny,416,504
37,Minotaur,265,481
37,Novaria,282,417
37,Claude,96,48
37,Masha,631,609
37,Wanwan,26,97
37,Fredrinn,412,606
38,Chou,458,599
38,Minotaur,265,480
38,Lapu-Lapu,616,690
38,Valentina,350,393
38,Fanny,415,508
38,Novaria,281,416
38,Claude,96,49
38,Masha,631,609
38,Wanwan,26,96
38,Fredrinn,412,607
39,Chou,460,599
39,Minotaur,266,480
39,Lapu-Lapu,618,690
39,Valentina,350,394
39,Novaria,278,416
39,Claude,98,50
39,Fanny,413,515
39,Masha,630,609
39,Fredrinn,413,608
39,Wanwan,27,96
40,Chou,460,599
40,Lapu-Lapu,619,690
40,Minotaur,265,478
40,Valentina,350,394
40,Fanny,412,521
40,Claude,99,50
40,Novaria,277,416
40,Masha,631,608
40,Fredrinn,413,609
40,Wanwan,27,96
41,Fanny,411,525
41,Lapu-Lapu,620,689
41,Minotaur,266,478
41,Chou,460,599
41,Valentina,351,395
41,Novaria,276,415
41,Claude,99,51
41,Masha,630,608
41,Wanwan,27,97
42,Lapu-Lapu,618,689
42,Minotaur,267,478
42,Valentina,350,396
42,Chou,461,598
42,Novaria,275,416
42,Claude,101,51
42,Fanny,409,531
42,Masha,630,609
42,Wanwan,26,97
43,Lapu-Lapu,618,689
43,Chou,462,599
43,Minotaur,267,478
43,Valentina,350,396
43,Novaria,275,416
43,Fanny,408,532
43,Claude,102,52
43,Masha,630,608
43,Wanwan,25,97
44,Chou,461,599
44,Lapu-Lapu,616,689
44,Valentina,349,397
44,Novaria,272,416
44,Fanny,405,540
44,Minotaur,268,477
44,Masha,630,609
44,Claude,103,53
44,Wanwan,25,97
45,Chou,461,599
45,Valentina,349,397
45,Lapu-Lapu,615,689
45,Fanny,405,542
45,Novaria,272,416
45,Minotaur,268,477
45,Masha,630,608
45,Claude,103,53
45,Wanwan,25,97
46,Fanny,405,548
46,Chou,462,599
46,Valentina,348,397
46,Novaria,272,416
46,Lapu-Lapu,615,688
46,Minotaur,268,477
46,Masha,629,609
46,Claude,104,53
46,Wanwan,25,97
47,Novaria,272,416
47,Valentina,348,398
47,Chou,462,599
47,Lapu-Lapu,613,688
47,Minotaur,268,476
47,Fanny,403,552
47,Masha,630,609
47,Wanwan,25,97
47,Claude,103,54
48,Novaria,272,416
48,Valentina,348,399
48,Chou,461,599
48,Lapu-Lapu,613,688
48,Minotaur,269,476
48,Fanny,401,556
48,Masha,630,609
48,Claude,104,55
48,Wanwan,25,97
49,Valentina,348,399
49,Chou,461,599
49,Novaria,273,415
49,Lapu-Lapu,613,689
49,Minotaur,269,475
49,Fanny,399,560
49,Masha,630,609
49,Claude,105,56
49,Wanwan,26,96
50,Valentina,347,400
50,Lapu-Lapu,611,689
50,Chou,461,598
